Date,ZINC,TIN,STEEL,NICKEL,MOLYBDENUM,LEAD,COBALT,COPPER,ALUMINIUM
2012-11-09,1859.5,20235,315.25,15887.5,24250,2147.5,23400,7765.25,1888.75
2012-11-12,1872.75,20472.5,305.25,15927.5,23900,2096.25,23500,7603.75,1929
2012-11-13,1892.25,20377.5,305,15907.5,23900,2169.5,23500,7660.75,1943.75
2012-11-14,1921.25,20587.5,300.25,15982.5,24500,2202.5,22675,7654.25,1965.5
2012-11-15,1906.75,20407.5,300.25,16012.5,24500,2202.5,23050,7605.25,1931.75
2012-11-16,1895.25,20525,300,15877.5,24500,2179.5,23050,7540.25,1921.25
2012-11-19,1891.75,20572.5,301,16057.5,24500,2179.75,23075,7626.25,1927.75
2012-11-20,1902.75,20927.5,310,16332.5,24500,2163.25,22800,7606.25,1952.25
2012-11-21,1894.5,20627.5,300,16507.5,24500,2187.75,22550,7634.75,1927.75
2012-11-22,1897.75,20562.5,300,16682.5,24500,2187.5,22600,7605.25,1915.25
2012-11-23,1915.25,20592.5,300,16527.5,24500,2179.5,22550,7572.75,1928.75
2012-11-26,1967.25,20812.5,300,16672.5,24500,2174.25,22550,7670.25,1976.25
2012-11-27,1971.25,21132.5,297.5,16667.5,24500,2186.5,22550,7730.5,2002.75
2012-11-28,1956.5,21242.5,305,16887.5,24500,2146.75,22600,7704.5,1992.25
2012-11-29,2005.75,21607.5,300,17212.5,24500,2165.75,22600,7715.75,2045.5
2012-11-30,2027.75,21797.5,305,17087.5,24500,2169,22500,7675.75,2078.5
2012-12-03,2024.25,21857.5,292.5,17595,24500,2200.5,23550,7770.25,2096.25
2012-12-04,2011.25,21762.5,292.5,17312.5,24500,2198.25,23550,7795.75,2100.25
2012-12-05,2008.25,21860,295,17442.5,24500,2187.5,23550,7719.5,2094.5
2012-12-06,2013.75,21900,292.5,17377.5,24500,2238.75,23550,7849.75,2109.25
2012-12-07,1988.25,21617.5,293,17022.5,25000,2254.25,23550,7948.75,2077.75
2012-12-10,2045.25,22362.5,320,17327.5,25000,2243,23550,7975.25,2101.25
2012-12-11,2055.75,23000,302.5,17602.5,25000,2229,23550,7990.75,2130.5
2012-12-12,2058.5,23152.5,296.5,17757.5,25000,2231,22250,8021.5,2134.5
2012-12-13,2037.25,22875,295,17427.5,25000,2223.75,23650,8020.25,2121.25
2012-12-14,2058.25,23202.5,295,17702.5,25250,2178.5,23550,7965.25,2132.25
2012-12-17,2049.25,23312.5,285,17552.5,25500,2257.5,23650,8111.25,2163.25
2012-12-18,2055.5,23447.5,290,17647.5,25500,2278,23600,8069,2080.5
2012-12-19,2048,23655,290,17582.5,25500,2286.5,24075,8101.5,2072.5
2012-12-20,2031,23302.5,295,17522.5,25500,2278.75,24600,8000.25,2031.75
2012-12-21,2031,23347.5,275.25,17382.5,25500,2292.5,24375,8047.25,2035.25
2012-12-24,2054.5,23197.5,287.5,17012.5,25500,2268.5,24500,8000.5,2045.25
2012-12-27,2061.5,23337.5,300,17227.5,25500,2292.25,24500,8005.25,2043.25
2012-12-28,2040.75,23207.5,287.5,17097.5,25500,2310.75,25000,7945.75,2030.5
2012-12-31,2034.25,23497.5,279.5,17082.5,25500,2311,25000,7825.25,2039.75
2013-01-02,2086.75,24347.5,285,17422.5,25500,2275.5,25000,7768.25,2093.25
2013-01-03,2091.5,24125,285,17537.5,25500,2298.5,25000,7779,2108.25
2013-01-04,2023.25,23987.5,275.5,17312.5,25500,2310.5,25000,7871.25,2055.5
2013-01-07,1984.75,23742.5,275,17212.5,26000,2316.5,25000,7867.5,2004.75
2013-01-08,1976.5,24007.5,277.5,17142.5,26000,2339.75,25000,7914.75,2026.75
2013-01-09,2003.25,24437.5,281,17437.5,26000,2384.5,25000,8084.75,2061.25
2013-01-10,2018.25,24872.5,290,17535,26000,2412.25,25000,8140.25,2074.25
2013-01-11,2010.25,24697.5,295,17322.5,26000,2342.5,25750,8025.5,2076.75
2013-01-14,1995.75,25075,292.5,17357.5,26000,2288.75,25750,7995.25,2062.25
2013-01-15,1954.5,24782.5,282.5,17185,26000,2296.5,25125,8050.25,2002.25
